thickness,crossplane,r,x,y,t
3.98107e-08,4.67632,0.0,2,2,500
5.01187e-08,4.89413,0.0,2,2,500
6.30957e-08,5.10723,0.0,2,2,500
7.94328e-08,5.31606,0.0,2,2,500
1e-07,5.52104,0.0,2,2,500
1.25893e-07,5.72248,0.0,2,2,500
1.58489e-07,5.9205,0.0,2,2,500
1.99526e-07,6.115,0.0,2,2,500
2.51189e-07,6.30562,0.0,2,2,500
3.16228e-07,6.49182,0.0,2,2,500
3.98107e-07,6.67289,0.0,2,2,500
5.01187e-07,6.84801,0.0,2,2,500
6.30957e-07,7.0163,0.0,2,2,500
7.94328e-07,7.17689,0.0,2,2,500
1e-06,7.32894,0.0,2,2,500
1.25893e-06,7.47167,0.0,2,2,500
1.58489e-06,7.60439,0.0,2,2,500
1.99526e-06,7.72656,0.0,2,2,500
2.51189e-06,7.83779,0.0,2,2,500
3.16228e-06,7.9379,0.0,2,2,500
3.98107e-06,8.02695,0.0,2,2,500
5.01187e-06,8.10522,0.0,2,2,500
6.30957e-06,8.17319,0.0,2,2,500
7.94328e-06,8.23155,0.0,2,2,500
1e-05,8.28112,0.0,2,2,500
1.25893e-05,8.3228,0.0,2,2,500
1.58489e-05,8.35754,0.0,2,2,500
1.99526e-05,8.38625,0.0,2,2,500
2.51189e-05,8.40983,0.0,2,2,500
3.16228e-05,8.42908,0.0,2,2,500
3.98107e-05,8.44471,0.0,2,2,500
5.01187e-05,8.45735,0.0,2,2,500
6.30957e-05,8.46754,0.0,2,2,500
7.94328e-05,8.47573,0.0,2,2,500
0.0001,8.48229,0.0,2,2,500
1e-09,1.27171,0.0,2,5,300
1.25893e-09,1.50372,0.0,2,5,300
1.58489e-09,1.76286,0.0,2,5,300
1.99526e-09,2.04805,0.0,2,5,300
2.51189e-09,2.35714,0.0,2,5,300
3.16228e-09,2.68699,0.0,2,5,300
3.98107e-09,3.03363,0.0,2,5,300
5.01187e-09,3.39248,0.0,2,5,300
6.30957e-09,3.7587,0.0,2,5,300
7.94328e-09,4.12747,0.0,2,5,300
1e-08,4.49427,0.0,2,5,300
1.25893e-08,4.85512,0.0,2,5,300
1.58489e-08,5.20672,0.0,2,5,300
1.99526e-08,5.54653,0.0,2,5,300
2.51189e-08,5.87275,0.0,2,5,300
3.16228e-08,6.18426,0.0,2,5,300
3.98107e-08,6.48056,0.0,2,5,300
5.01187e-08,6.76161,0.0,2,5,300
6.30957e-08,7.02771,0.0,2,5,300
7.94328e-08,7.27936,0.0,2,5,300
1e-07,7.51712,0.0,2,5,300
1.25893e-07,7.74149,0.0,2,5,300
1.58489e-07,7.95282,0.0,2,5,300
1.99526e-07,8.15122,0.0,2,5,300
2.51189e-07,8.33659,0.0,2,5,300
3.16228e-07,8.50863,0.0,2,5,300
3.98107e-07,8.66698,0.0,2,5,300
5.01187e-07,8.81126,0.0,2,5,300
6.30957e-07,8.94125,0.0,2,5,300
7.94328e-07,9.05695,0.0,2,5,300
1e-06,9.15867,0.0,2,5,300
1.25893e-06,9.24699,0.0,2,5,300
1.58489e-06,9.32278,0.0,2,5,300
1.99526e-06,9.38709,0.0,2,5,300
2.51189e-06,9.44111,0.0,2,5,300
3.16228e-06,9.48608,0.0,2,5,300
3.98107e-06,9.52322,0.0,2,5,300
5.01187e-06,9.55369,0.0,2,5,300
6.30957e-06,9.57853,0.0,2,5,300
7.94328e-06,9.5987,0.0,2,5,300
1e-05,9.61499,0.0,2,5,300
1.25893e-05,9.62812,0.0,2,5,300
1.58489e-05,9.63867,0.0,2,5,300
1.99526e-05,9.64712,0.0,2,5,300
2.51189e-05,9.65388,0.0,2,5,300
3.16228e-05,9.65929,0.0,2,5,300
3.98107e-05,9.6636,0.0,2,5,300
5.01187e-05,9.66704,0.0,2,5,300
6.30957e-05,9.66978,0.0,2,5,300
7.94328e-05,9.67196,0.0,2,5,300
0.0001,9.6737,0.0,2,5,300
1e-09,1.27171,0.0,2,5,400
1.25893e-09,1.50372,0.0,2,5,400
1.58489e-09,1.76286,0.0,2,5,400
1.99526e-09,2.04805,0.0,2,5,400
2.51189e-09,2.35714,0.0,2,5,400
3.16228e-09,2.68699,0.0,2,5,400
3.98107e-09,3.03363,0.0,2,5,400
5.01187e-09,3.39248,0.0,2,5,400
6.30957e-09,3.7587,0.0,2,5,400
7.94328e-09,4.12747,0.0,2,5,400
1e-08,4.49427,0.0,2,5,400
1.25893e-08,4.85512,0.0,2,5,400
1.58489e-08,5.20672,0.0,2,5,400
1.99526e-08,5.54653,0.0,2,5,400
2.51189e-08,5.87275,0.0,2,5,400
3.16228e-08,6.18426,0.0,2,5,400
3.98107e-08,6.48056,0.0,2,5,400
5.01187e-08,6.76161,0.0,2,5,400
6.30957e-08,7.02771,0.0,2,5,400
7.94328e-08,7.27936,0.0,2,5,400
1e-07,7.51712,0.0,2,5,400
1.25893e-07,7.74149,0.0,2,5,400
1.58489e-07,7.95282,0.0,2,5,400
1.99526e-07,8.15122,0.0,2,5,400
2.51189e-07,8.33659,0.0,2,5,400
3.16228e-07,8.50863,0.0,2,5,400
3.98107e-07,8.66698,0.0,2,5,400
5.01187e-07,8.81126,0.0,2,5,400
6.30957e-07,8.94125,0.0,2,5,400
7.94328e-07,9.05695,0.0,2,5,400
1e-06,9.15867,0.0,2,5,400
1.25893e-06,9.24699,0.0,2,5,400
1.58489e-06,9.32278,0.0,2,5,400
1.99526e-06,9.38709,0.0,2,5,400
2.51189e-06,9.44111,0.0,2,5,400
3.16228e-06,9.48608,0.0,2,5,400
3.98107e-06,9.52322,0.0,2,5,400
5.01187e-06,9.55369,0.0,2,5,400
6.30957e-06,9.57853,0.0,2,5,400
7.94328e-06,9.5987,0.0,2,5,400
1e-05,9.61499,0.0,2,5,400
1.25893e-05,9.62812,0.0,2,5,400
1.58489e-05,9.63867,0.0,2,5,400
1.99526e-05,9.64712,0.0,2,5,400
2.51189e-05,9.65388,0.0,2,5,400
3.16228e-05,9.65929,0.0,2,5,400
3.98107e-05,9.6636,0.0,2,5,400
5.01187e-05,9.66704,0.0,2,5,400
6.30957e-05,9.66978,0.0,2,5,400
7.94328e-05,9.67196,0.0,2,5,400
0.0001,9.6737,0.0,2,5,400
1e-09,1.27171,0.0,2,5,500
1.25893e-09,1.50372,0.0,2,5,500
1.58489e-09,1.76286,0.0,2,5,500
1.99526e-09,2.04805,0.0,2,5,500
2.51189e-09,2.35714,0.0,2,5,500
3.16228e-09,2.68699,0.0,2,5,500
3.98107e-09,3.03363,0.0,2,5,500
5.01187e-09,3.39248,0.0,2,5,500
6.30957e-09,3.7587,0.0,2,5,500
7.94328e-09,4.12747,0.0,2,5,500
1e-08,4.49427,0.0,2,5,500
1.25893e-08,4.85512,0.0,2,5,500
1.58489e-08,5.20672,0.0,2,5,500
1.99526e-08,5.54653,0.0,2,5,500
2.51189e-08,5.87275,0.0,2,5,500
3.16228e-08,6.18426,0.0,2,5,500
3.98107e-08,6.48056,0.0,2,5,500
5.01187e-08,6.76161,0.0,2,5,500
6.30957e-08,7.02771,0.0,2,5,500
7.94328e-08,7.27936,0.0,2,5,500
1e-07,7.51712,0.0,2,5,500
1.25893e-07,7.74149,0.0,2,5,500
1.58489e-07,7.95282,0.0,2,5,500
1.99526e-07,8.15122,0.0,2,5,500
2.51189e-07,8.33659,0.0,2,5,500
3.16228e-07,8.50863,0.0,2,5,500
3.98107e-07,8.66698,0.0,2,5,500
5.01187e-07,8.81126,0.0,2,5,500
6.30957e-07,8.94125,0.0,2,5,500
7.94328e-07,9.05695,0.0,2,5,500
1e-06,9.15867,0.0,2,5,500
1.25893e-06,9.24699,0.0,2,5,500
1.58489e-06,9.32278,0.0,2,5,500
1.99526e-06,9.38709,0.0,2,5,500
2.51189e-06,9.44111,0.0,2,5,500
3.16228e-06,9.48608,0.0,2,5,500
3.98107e-06,9.52322,0.0,2,5,500
5.01187e-06,9.55369,0.0,2,5,500
6.30957e-06,9.57853,0.0,2,5,500
7.94328e-06,9.5987,0.0,2,5,500
1e-05,9.61499,0.0,2,5,500
1.25893e-05,9.62812,0.0,2,5,500
1.58489e-05,9.63867,0.0,2,5,500
1.99526e-05,9.64712,0.0,2,5,500
2.51189e-05,9.65388,0.0,2,5,500
3.16228e-05,9.65929,0.0,2,5,500
3.98107e-05,9.6636,0.0,2,5,500
5.01187e-05,9.66704,0.0,2,5,500
6.30957e-05,9.66978,0.0,2,5,500
7.94328e-05,9.67196,0.0,2,5,500
0.0001,9.6737,0.0,2,5,500
1e-09,1.48987,0.0,2,10,300
1.25893e-09,1.78689,0.0,2,10,300
1.58489e-09,2.12688,0.0,2,10,300
1.99526e-09,2.5107,0.0,2,10,300
2.51189e-09,2.93768,0.0,2,10,300
3.16228e-09,3.40534,0.0,2,10,300
3.98107e-09,3.90944,0.0,2,10,300
5.01187e-09,4.44405,0.0,2,10,300
6.30957e-09,5.00194,0.0,2,10,300
7.94328e-09,5.57504,0.0,2,10,300
1e-08,6.15494,0.0,2,10,300
1.25893e-08,6.73351,0.0,2,10,300
1.58489e-08,7.3033,0.0,2,10,300
1.99526e-08,7.85789,0.0,2,10,300
2.51189e-08,8.39211,0.0,2,10,300
3.16228e-08,8.90206,0.0,2,10,300
3.98107e-08,9.38506,0.0,2,10,300
5.01187e-08,9.83956,0.0,2,10,300
6.30957e-08,10.265,0.0,2,10,300
7.94328e-08,10.6614,0.0,2,10,300
1e-07,11.0295,0.0,2,10,300
1.25893e-07,11.3703,0.0,2,10,300
1.58489e-07,11.6852,0.0,2,10,300
1.99526e-07,11.9753,0.0,2,10,300
2.51189e-07,12.2419,0.0,2,10,300
3.16228e-07,12.4861,0.0,2,10,300
3.98107e-07,12.7087,0.0,2,10,300
5.01187e-07,12.9104,0.0,2,10,300
6.30957e-07,13.0919,0.0,2,10,300
7.94328e-07,13.2538,0.0,2,10,300
1e-06,13.3968,0.0,2,10,300
1.25893e-06,13.5218,0.0,2,10,300
1.58489e-06,13.6298,0.0,2,10,300
1.99526e-06,13.7222,0.0,2,10,300
2.51189e-06,13.8004,0.0,2,10,300
3.16228e-06,13.8661,0.0,2,10,300
3.98107e-06,13.9206,0.0,2,10,300
5.01187e-06,13.9656,0.0,2,10,300
6.30957e-06,14.0025,0.0,2,10,300
7.94328e-06,14.0326,0.0,2,10,300
1e-05,14.057,0.0,2,10,300
1.25893e-05,14.0767,0.0,2,10,300
1.58489e-05,14.0925,0.0,2,10,300
1.99526e-05,14.1053,0.0,2,10,300
2.51189e-05,14.1155,0.0,2,10,300
3.16228e-05,14.1237,0.0,2,10,300
3.98107e-05,14.1302,0.0,2,10,300
5.01187e-05,14.1354,0.0,2,10,300
6.30957e-05,14.1396,0.0,2,10,300
7.94328e-05,14.1429,0.0,2,10,300
0.0001,14.1455,0.0,2,10,300
1e-09,1.48987,0.0,2,10,400
1.25893e-09,1.78689,0.0,2,10,400
1.58489e-09,2.12688,0.0,2,10,400
1.99526e-09,2.5107,0.0,2,10,400
2.51189e-09,2.93768,0.0,2,10,400
3.16228e-09,3.40534,0.0,2,10,400
3.98107e-09,3.90944,0.0,2,10,400
5.01187e-09,4.44405,0.0,2,10,400
6.30957e-09,5.00194,0.0,2,10,400
7.94328e-09,5.57504,0.0,2,10,400
1e-08,6.15494,0.0,2,10,400
1.25893e-08,6.73351,0.0,2,10,400
1.58489e-08,7.3033,0.0,2,10,400
1.99526e-08,7.85789,0.0,2,10,400
2.51189e-08,8.39211,0.0,2,10,400
3.16228e-08,8.90206,0.0,2,10,400
3.98107e-08,9.38506,0.0,2,10,400
5.01187e-08,9.83956,0.0,2,10,400
6.30957e-08,10.265,0.0,2,10,400
7.94328e-08,10.6614,0.0,2,10,400
1e-07,11.0295,0.0,2,10,400
1.25893e-07,11.3703,0.0,2,10,400
1.58489e-07,11.6852,0.0,2,10,400
1.99526e-07,11.9753,0.0,2,10,400
2.51189e-07,12.2419,0.0,2,10,400
3.16228e-07,12.4861,0.0,2,10,400
3.98107e-07,12.7087,0.0,2,10,400
5.01187e-07,12.9104,0.0,2,10,400
6.30957e-07,13.0919,0.0,2,10,400
7.94328e-07,13.2538,0.0,2,10,400
1e-06,13.3968,0.0,2,10,400
1.25893e-06,13.5218,0.0,2,10,400
1.58489e-06,13.6298,0.0,2,10,400
1.99526e-06,13.7222,0.0,2,10,400
2.51189e-06,13.8004,0.0,2,10,400
3.16228e-06,13.8661,0.0,2,10,400
3.98107e-06,13.9206,0.0,2,10,400
5.01187e-06,13.9656,0.0,2,10,400
6.30957e-06,14.0025,0.0,2,10,400
7.94328e-06,14.0326,0.0,2,10,400
1e-05,14.057,0.0,2,10,400
1.25893e-05,14.0767,0.0,2,10,400
1.58489e-05,14.0925,0.0,2,10,400
1.99526e-05,14.1053,0.0,2,10,400
2.51189e-05,14.1155,0.0,2,10,400
3.16228e-05,14.1237,0.0,2,10,400
3.98107e-05,14.1302,0.0,2,10,400
5.01187e-05,14.1354,0.0,2,10,400
6.30957e-05,14.1396,0.0,2,10,400
7.94328e-05,14.1429,0.0,2,10,400
0.0001,14.1455,0.0,2,10,400
1e-09,1.48987,0.0,2,10,500
1.25893e-09,1.78689,0.0,2,10,500
1.58489e-09,2.12688,0.0,2,10,500
1.99526e-09,2.5107,0.0,2,10,500
2.51189e-09,2.93768,0.0,2,10,500
3.16228e-09,3.40534,0.0,2,10,500
3.98107e-09,3.90944,0.0,2,10,500
5.01187e-09,4.44405,0.0,2,10,500
6.30957e-09,5.00194,0.0,2,10,500
7.94328e-09,5.57504,0.0,2,10,500
1e-08,6.15494,0.0,2,10,500
1.25893e-08,6.73351,0.0,2,10,500
1.58489e-08,7.3033,0.0,2,10,500
1.99526e-08,7.85789,0.0,2,10,500
2.51189e-08,8.39211,0.0,2,10,500
3.16228e-08,8.90206,0.0,2,10,500
3.98107e-08,9.38506,0.0,2,10,500
5.01187e-08,9.83956,0.0,2,10,500
6.30957e-08,10.265,0.0,2,10,500
7.94328e-08,10.6614,0.0,2,10,500
1e-07,11.0295,0.0,2,10,500
1.25893e-07,11.3703,0.0,2,10,500
1.58489e-07,11.6852,0.0,2,10,500
1.99526e-07,11.9753,0.0,2,10,500
2.51189e-07,12.2419,0.0,2,10,500
3.16228e-07,12.4861,0.0,2,10,500
3.98107e-07,12.7087,0.0,2,10,500
5.01187e-07,12.9104,0.0,2,10,500
6.30957e-07,13.0919,0.0,2,10,500
7.94328e-07,13.2538,0.0,2,10,500
1e-06,13.3968,0.0,2,10,500
1.25893e-06,13.5218,0.0,2,10,500
1.58489e-06,13.6298,0.0,2,10,500
1.99526e-06,13.7222,0.0,2,10,500
2.51189e-06,13.8004,0.0,2,10,500
3.16228e-06,13.8661,0.0,2,10,500
3.98107e-06,13.9206,0.0,2,10,500
5.01187e-06,13.9656,0.0,2,10,500
6.30957e-06,14.0025,0.0,2,10,500
7.94328e-06,14.0326,0.0,2,10,500
1e-05,14.057,0.0,2,10,500
1.25893e-05,14.0767,0.0,2,10,500
1.58489e-05,14.0925,0.0,2,10,500
1.99526e-05,14.1053,0.0,2,10,500
2.51189e-05,14.1155,0.0,2,10,500
3.16228e-05,14.1237,0.0,2,10,500
3.98107e-05,14.1302,0.0,2,10,500
5.01187e-05,14.1354,0.0,2,10,500
6.30957e-05,14.1396,0.0,2,10,500
7.94328e-05,14.1429,0.0,2,10,500
0.0001,14.1455,0.0,2,10,500
1e-09,1.68704,0.0,2,20,300
1.25893e-09,2.05143,0.0,2,20,300
1.58489e-09,2.47934,0.0,2,20,300
1.99526e-09,2.97611,0.0,2,20,300
2.51189e-09,3.54557,0.0,2,20,300
3.16228e-09,4.18937,0.0,2,20,300
3.98107e-09,4.90645,0.0,2,20,300
5.01187e-09,5.69263,0.0,2,20,300
6.30957e-09,6.54051,0.0,2,20,300
7.94328e-09,7.43959,0.0,2,20,300
1e-08,8.37689,0.0,2,20,300
1.25893e-08,9.33774,0.0,2,20,300
1.58489e-08,10.3067,0.0,2,20,300
1.99526e-08,11.2689,0.0,2,20,300
2.51189e-08,12.2103,0.0,2,20,300
3.16228e-08,13.1191,0.0,2,20,300
3.98107e-08,13.9857,0.0,2,20,300
5.01187e-08,14.803,0.0,2,20,300
6.30957e-08,15.5664,0.0,2,20,300
7.94328e-08,16.2735,0.0,2,20,300
1e-07,16.9237,0.0,2,20,300
1.25893e-07,17.5183,0.0,2,20,300
1.58489e-07,18.0593,0.0,2,20,300
1.99526e-07,18.55,0.0,2,20,300
2.51189e-07,18.9938,0.0,2,20,300
3.16228e-07,19.3943,0.0,2,20,300
3.98107e-07,19.7553,0.0,2,20,300
5.01187e-07,20.0801,0.0,2,20,300
6.30957e-07,20.3717,0.0,2,20,300
7.94328e-07,20.6329,0.0,2,20,300
1e-06,20.8661,0.0,2,20,300
1.25893e-06,21.0734,0.0,2,20,300
1.58489e-06,21.2569,0.0,2,20,300
1.99526e-06,21.4184,0.0,2,20,300
2.51189e-06,21.5596,0.0,2,20,300
3.16228e-06,21.6822,0.0,2,20,300
3.98107e-06,21.7879,0.0,2,20,300
5.01187e-06,21.8784,0.0,2,20,300
6.30957e-06,21.955,0.0,2,20,300
7.94328e-06,22.0196,0.0,2,20,300
1e-05,22.0735,0.0,2,20,300
1.25893e-05,22.1182,0.0,2,20,300
1.58489e-05,22.155,0.0,2,20,300
1.99526e-05,22.1851,0.0,2,20,300
2.51189e-05,22.2096,0.0,2,20,300
3.16228e-05,22.2295,0.0,2,20,300
3.98107e-05,22.2456,0.0,2,20,300
5.01187e-05,22.2585,0.0,2,20,300
6.30957e-05,22.2689,0.0,2,20,300
7.94328e-05,22.2772,0.0,2,20,300
0.0001,22.2839,0.0,2,20,300
1e-09,1.68704,0.0,2,20,400
1.25893e-09,2.05143,0.0,2,20,400
1.58489e-09,2.47934,0.0,2,20,400
1.99526e-09,2.97611,0.0,2,20,400
2.51189e-09,3.54557,0.0,2,20,400
3.16228e-09,4.18937,0.0,2,20,400
3.98107e-09,4.90645,0.0,2,20,400
5.01187e-09,5.69263,0.0,2,20,400
6.30957e-09,6.54051,0.0,2,20,400
7.94328e-09,7.43959,0.0,2,20,400
1e-08,8.37689,0.0,2,20,400
1.25893e-08,9.33774,0.0,2,20,400
1.58489e-08,10.3067,0.0,2,20,400
1.99526e-08,11.2689,0.0,2,20,400
2.51189e-08,12.2103,0.0,2,20,400
3.16228e-08,13.1191,0.0,2,20,400
3.98107e-08,13.9857,0.0,2,20,400
5.01187e-08,14.803,0.0,2,20,400
6.30957e-08,15.5664,0.0,2,20,400
7.94328e-08,16.2735,0.0,2,20,400
1e-07,16.9237,0.0,2,20,400
1.25893e-07,17.5183,0.0,2,20,400
1.58489e-07,18.0593,0.0,2,20,400
1.99526e-07,18.55,0.0,2,20,400
2.51189e-07,18.9938,0.0,2,20,400
3.16228e-07,19.3943,0.0,2,20,400
3.98107e-07,19.7553,0.0,2,20,400
5.01187e-07,20.0801,0.0,2,20,400
6.30957e-07,20.3717,0.0,2,20,400
7.94328e-07,20.6329,0.0,2,20,400
1e-06,20.8661,0.0,2,20,400
1.25893e-06,21.0734,0.0,2,20,400
1.58489e-06,21.2569,0.0,2,20,400
1.99526e-06,21.4184,0.0,2,20,400
2.51189e-06,21.5596,0.0,2,20,400
3.16228e-06,21.6822,0.0,2,20,400
3.98107e-06,21.7879,0.0,2,20,400
5.01187e-06,21.8784,0.0,2,20,400
6.30957e-06,21.955,0.0,2,20,400
7.94328e-06,22.0196,0.0,2,20,400
1e-05,22.0735,0.0,2,20,400
1.25893e-05,22.1182,0.0,2,20,400
1.58489e-05,22.155,0.0,2,20,400
1.99526e-05,22.1851,0.0,2,20,400
2.51189e-05,22.2096,0.0,2,20,400
3.16228e-05,22.2295,0.0,2,20,400
3.98107e-05,22.2456,0.0,2,20,400
5.01187e-05,22.2585,0.0,2,20,400
6.30957e-05,22.2689,0.0,2,20,400
7.94328e-05,22.2772,0.0,2,20,400
0.0001,22.2839,0.0,2,20,400
1e-09,1.68704,0.0,2,20,500
1.25893e-09,2.05143,0.0,2,20,500
1.58489e-09,2.47934,0.0,2,20,500
1.99526e-09,2.97611,0.0,2,20,500
2.51189e-09,3.54557,0.0,2,20,500
3.16228e-09,4.18937,0.0,2,20,500
3.98107e-09,4.90645,0.0,2,20,500
5.01187e-09,5.69263,0.0,2,20,500
6.30957e-09,6.54051,0.0,2,20,500
7.94328e-09,7.43959,0.0,2,20,500
1e-08,8.37689,0.0,2,20,500
1.25893e-08,9.33774,0.0,2,20,500
1.58489e-08,10.3067,0.0,2,20,500
1.99526e-08,11.2689,0.0,2,20,500
2.51189e-08,12.2103,0.0,2,20,500
3.16228e-08,13.1191,0.0,2,20,500
3.98107e-08,13.9857,0.0,2,20,500
5.01187e-08,14.803,0.0,2,20,500
6.30957e-08,15.5664,0.0,2,20,500
7.94328e-08,16.2735,0.0,2,20,500
1e-07,16.9237,0.0,2,20,500
1.25893e-07,17.5183,0.0,2,20,500
1.58489e-07,18.0593,0.0,2,20,500
1.99526e-07,18.55,0.0,2,20,500
2.51189e-07,18.9938,0.0,2,20,500
3.16228e-07,19.3943,0.0,2,20,500
3.98107e-07,19.7553,0.0,2,20,500
5.01187e-07,20.0801,0.0,2,20,500
6.30957e-07,20.3717,0.0,2,20,500
7.94328e-07,20.6329,0.0,2,20,500
1e-06,20.8661,0.0,2,20,500
1.25893e-06,21.0734,0.0,2,20,500
1.58489e-06,21.2569,0.0,2,20,500
1.99526e-06,21.4184,0.0,2,20,500
2.51189e-06,21.5596,0.0,2,20,500
3.16228e-06,21.6822,0.0,2,20,500
3.98107e-06,21.7879,0.0,2,20,500
5.01187e-06,21.8784,0.0,2,20,500
6.30957e-06,21.955,0.0,2,20,500
7.94328e-06,22.0196,0.0,2,20,500
1e-05,22.0735,0.0,2,20,500
1.25893e-05,22.1182,0.0,2,20,500
1.58489e-05,22.155,0.0,2,20,500
1.99526e-05,22.1851,0.0,2,20,500
2.51189e-05,22.2096,0.0,2,20,500
3.16228e-05,22.2295,0.0,2,20,500
3.98107e-05,22.2456,0.0,2,20,500
5.01187e-05,22.2585,0.0,2,20,500
6.30957e-05,22.2689,0.0,2,20,500
7.94328e-05,22.2772,0.0,2,20,500
0.0001,22.2839,0.0,2,20,500
1e-09,1.09575,0.0,5,2,300
1.25893e-09,1.30386,0.0,5,2,300
1.58489e-09,1.53954,0.0,5,2,300
1.99526e-09,1.80303,0.0,5,2,300
2.51189e-09,2.09381,0.0,5,2,300
